Time,AccelRoll,AccelPitch,AccelYaw,CompRoll,CompPitch,CompYaw,MahonyRoll,MahonyPitch,MahonyYaw,MadgwickRoll,MadgwickPitch,MadgwickYaw,MEKFRoll,MEKFPitch,MEKFYaw
0.900000,-2.345513,-0.990897,-0.000000,-2.348259,-1.092089,-0.002652,3.077092,2.278212,-27.657034,0.512672,0.257019,-3.289864,73.643654,-37.296036,-28.512629
0.916667,-2.617158,-1.214816,0.000000,-2.353635,-1.094556,-0.002674,3.062824,2.284879,-28.004143,0.519542,0.260373,-3.350566,76.148338,-37.540146,-30.039696
0.933333,-2.328161,-1.066945,-0.000000,-2.353085,-1.093997,-0.002691,3.055122,2.294770,-28.344883,0.529721,0.265402,-3.411085,78.693977,-37.742283,-31.595352
0.950000,-2.229783,-0.935018,-0.000000,-2.350567,-1.090801,-0.002721,3.049554,2.307682,-28.682167,0.540944,0.271528,-3.472066,81.276573,-37.894222,-33.177055
0.966667,-2.349884,-1.027893,0.000000,-2.350552,-1.089576,-0.002745,3.036768,2.314312,-29.015772,0.548652,0.274342,-3.533190,83.891373,-37.985435,-34.790028
0.983333,-2.356039,-1.174071,0.000000,-2.350651,-1.091269,-0.002770,3.023650,2.319823,-29.346766,0.556897,0.278506,-3.594332,86.531433,-38.013069,-36.419533
1.000000,-2.442977,-1.107278,0.000000,-2.352456,-1.091572,-0.002775,3.007876,2.325160,-29.673901,0.566160,0.283777,-3.654392,89.192841,-37.982098,-38.061363
1.016667,-2.427601,-1.056115,0.000000,-2.353938,-1.090846,-0.002800,2.989905,2.330280,-29.995670,0.574302,0.289201,-3.715598,91.865913,-37.891491,-39.711071
1.033333,-2.399010,-1.142000,0.000000,-2.354818,-1.091863,-0.002835,2.972965,2.333850,-30.311300,0.582935,0.294013,-3.777325,94.544098,-37.737034,-41.361763
1.050000,-2.302212,-1.145599,0.000000,-2.353734,-1.092940,-0.002847,2.959317,2.338221,-30.628529,0.592563,0.298390,-3.837816,97.222359,-37.520649,-42.998520
1.066667,-2.386958,-1.049767,0.000000,-2.354367,-1.092089,-0.002849,2.941441,2.340841,-30.936325,0.601717,0.302283,-3.897784,99.893593,-37.246281,-44.628559
1.083333,-2.462553,-1.163408,0.000000,-2.356510,-1.093508,-0.002854,2.919184,2.340271,-31.236149,0.609834,0.306850,-3.957833,102.548683,-36.908371,-46.244110
1.100000,-2.321095,-1.087456,0.000000,-2.355791,-1.093390,-0.002877,2.897598,2.339660,-31.535284,0.617590,0.311000,-4.019007,105.184296,-36.513531,-47.833023
1.116667,-2.258873,-0.987470,0.000000,-2.353821,-1.091285,-0.002900,2.877772,2.339599,-31.827183,0.626890,0.314950,-4.080103,107.794395,-36.064953,-49.393322
1.133333,-2.392547,-1.066438,0.000000,-2.354614,-1.090801,-0.002912,2.851794,2.337390,-32.116589,0.632721,0.318606,-4.140707,110.367928,-35.555508,-50.917362
1.150000,-2.394568,-1.138081,0.000000,-2.355381,-1.091720,-0.002935,2.827067,2.335197,-32.408978,0.640935,0.324177,-4.201959,112.906647,-34.988892,-52.394703
1.166667,-2.378194,-0.990308,0.000000,-2.355817,-1.089685,-0.002946,2.801055,2.333185,-32.693981,0.648634,0.328995,-4.262599,115.403778,-34.376492,-53.831131
1.183333,-2.369695,-1.025547,-0.000000,-2.356083,-1.088395,-0.002957,2.773731,2.329611,-32.972927,0.655787,0.333704,-4.323237,117.853752,-33.715832,-55.222095
1.200000,-2.424625,-1.160063,0.000000,-2.357423,-1.089831,-0.002958,2.747255,2.323681,-33.248043,0.664208,0.337591,-4.383296,120.252678,-33.005993,-56.560860
1.216667,-2.357921,-1.062823,0.000000,-2.357391,-1.089273,-0.002970,2.721387,2.319200,-33.512669,0.673597,0.342981,-4.443847,122.599014,-32.260372,-57.852005
1.233333,-2.433781,-1.052541,0.000000,-2.358928,-1.088531,-0.002970,2.689204,2.312456,-33.778179,0.679149,0.347482,-4.503951,124.890762,-31.474424,-59.088501
1.250000,-2.506034,-1.148811,0.000000,-2.361859,-1.089730,-0.002993,2.657634,2.304605,-34.039398,0.686034,0.351917,-4.565200,127.122841,-30.650307,-60.267952
1.266667,-2.248939,-1.115471,0.000000,-2.359550,-1.090228,-0.003003,2.631067,2.296053,-34.292324,0.695850,0.356901,-4.625782,129.305435,-29.801506,-61.398388
1.283333,-2.439933,-0.993521,0.000000,-2.361166,-1.088327,-0.003010,2.597416,2.286476,-34.547821,0.701307,0.359239,-4.686480,131.426331,-28.922724,-62.468658
1.300000,-2.594080,-1.125399,0.000000,-2.365833,-1.089082,-0.003041,2.560760,2.275404,-34.800755,0.706290,0.362374,-4.748401,133.484283,-28.014805,-63.481335
1.316667,-2.472776,-1.232426,-0.000000,-2.367940,-1.091922,-0.003063,2.526076,2.262199,-35.044441,0.713573,0.367251,-4.809743,135.489700,-27.087620,-64.447884
1.333333,-2.274881,-0.983404,0.000000,-2.366047,-1.089746,-0.003094,2.496717,2.253903,-35.286419,0.722063,0.372083,-4.871467,137.439224,-26.152634,-65.354439
1.350000,-2.300401,-1.035827,0.000000,-2.364732,-1.088661,-0.003123,2.464067,2.243523,-35.524311,0.728517,0.376644,-4.933237,139.330490,-25.201933,-66.211021
1.366667,-2.510121,-1.132172,0.000000,-2.367619,-1.089514,-0.003122,2.429998,2.232965,-35.763119,0.735552,0.381565,-4.993327,141.162613,-24.237059,-67.008629
1.383333,-2.372130,-1.087023,0.000000,-2.367678,-1.089458,-0.003150,2.398166,2.221787,-35.996719,0.743647,0.386076,-5.055103,142.942535,-23.266537,-67.760208
1.400000,-2.267442,-1.066021,0.000000,-2.365642,-1.088973,-0.003178,2.366437,2.209877,-36.228008,0.751538,0.390964,-5.116901,144.674240,-22.291870,-68.466209
1.416667,-2.384226,-1.027878,0.000000,-2.366002,-1.087764,-0.003193,2.332065,2.197102,-36.454681,0.758184,0.394358,-5.178125,146.348999,-21.314684,-69.126495
1.433333,-2.368141,-1.107736,0.000000,-2.366014,-1.088146,-0.003200,2.300670,2.186239,-36.682049,0.766348,0.399488,-5.238696,147.972687,-20.338520,-69.733849
1.450000,-2.403905,-1.118522,0.000000,-2.366750,-1.088747,-0.003217,2.267917,2.174225,-36.903961,0.774007,0.404097,-5.299838,149.544174,-19.364338,-70.301590
1.466667,-2.314633,-1.122321,0.000000,-2.365676,-1.089412,-0.003232,2.236531,2.161387,-37.124668,0.782221,0.408557,-5.360987,151.072540,-18.394474,-70.828682
1.483333,-2.184560,-1.083261,-0.000000,-2.362032,-1.089272,-0.003248,2.206533,2.149366,-37.339569,0.790393,0.413786,-5.422037,152.555954,-17.434155,-71.320160
1.500000,-2.500485,-1.094214,0.000000,-2.364789,-1.089385,-0.003283,2.169724,2.134474,-37.554283,0.796683,0.417081,-5.484443,153.988739,-16.475945,-71.774681
1.516667,-2.348446,-1.108220,0.000000,-2.364421,-1.089756,-0.003307,2.139223,2.122273,-37.764477,0.805981,0.421952,-5.546062,155.378952,-15.532718,-72.190865
1.533333,-2.355759,-1.080861,0.000000,-2.364237,-1.089560,-0.003312,2.104091,2.107907,-37.964348,0.812954,0.427095,-5.606595,156.727951,-14.599495,-72.588638
1.550000,-2.347997,-1.076759,0.000000,-2.363870,-1.089298,-0.003336,2.069569,2.091877,-38.168819,0.820840,0.431277,-5.668413,158.044174,-13.674481,-72.950836
1.566667,-2.378328,-1.149049,-0.000000,-2.364147,-1.090486,-0.003349,2.033787,2.075538,-38.372910,0.827082,0.435386,-5.729637,159.318253,-12.761911,-73.278732
1.583333,-2.353069,-1.062256,0.000000,-2.363895,-1.089935,-0.003362,1.999734,2.059415,-38.573299,0.834689,0.438661,-5.790825,160.556091,-11.865414,-73.579765
1.600000,-2.369409,-1.021970,0.000000,-2.363983,-1.088579,-0.003374,1.965172,2.044865,-38.774525,0.841577,0.442646,-5.852007,161.758026,-10.985455,-73.849319
1.616667,-2.328573,-1.084460,0.000000,-2.363284,-1.088480,-0.003377,1.928237,2.028624,-38.964912,0.846822,0.447520,-5.912586,162.922470,-10.120080,-74.106880
1.633333,-2.468870,-1.076864,0.000000,-2.365374,-1.088240,-0.003380,1.890178,2.011149,-39.152351,0.853186,0.451721,-5.973240,164.052597,-9.268848,-74.343712
1.650000,-2.452634,-1.091000,0.000000,-2.367108,-1.088289,-0.003402,1.850777,1.992347,-39.341599,0.858342,0.455562,-6.035133,165.153900,-8.431140,-74.556648
1.666667,-2.238803,-1.069117,0.000000,-2.364510,-1.087909,-0.003404,1.818403,1.975464,-39.530281,0.865993,0.459293,-6.095699,166.227295,-7.615442,-74.741165
1.683333,-2.394533,-1.034559,0.000000,-2.365119,-1.086846,-0.003426,1.780275,1.958214,-39.716934,0.870550,0.462994,-6.157508,167.265472,-6.815663,-74.908295
1.700000,-2.458391,-1.045889,0.000000,-2.366963,-1.086039,-0.003426,1.743968,1.941215,-39.905518,0.876722,0.466152,-6.218162,168.275696,-6.033750,-75.049690
1.716667,-2.340402,-1.152467,0.000000,-2.366411,-1.087361,-0.003427,1.709615,1.923279,-40.088467,0.883420,0.470236,-6.278751,169.258179,-5.268889,-75.178452
1.733333,-2.256090,-1.022232,0.000000,-2.364182,-1.086061,-0.003440,1.676497,1.906586,-40.268490,0.890352,0.474132,-6.339876,170.215332,-4.524691,-75.292221
