Time,AccelRoll,AccelPitch,AccelYaw,CompRoll,CompPitch,CompYaw,MahonyRoll,MahonyPitch,MahonyYaw,MadgwickRoll,MadgwickPitch,MadgwickYaw,MEKFRoll,MEKFPitch,MEKFYaw
0.766667,-1.864240,-1.347824,0.000000,-2.209412,-1.515187,-0.004571,-2.460224,-0.766192,6.803947,-1.134126,-0.589251,1.890479,-34.155483,-67.507965,22.416533
0.783333,-2.747592,-1.665355,-0.000000,-2.220190,-1.518297,-0.004649,-2.495135,-0.782579,6.899084,-1.163188,-0.603176,1.930862,-37.102703,-69.057487,25.139639
0.800000,-2.448925,-1.684360,0.000000,-2.224642,-1.521664,-0.004701,-2.514090,-0.795900,6.991814,-1.181296,-0.614091,1.973722,-40.539085,-70.556633,28.362387
0.816667,-1.897931,-1.498475,0.000000,-2.217984,-1.521225,-0.004747,-2.530541,-0.803107,7.100957,-1.195493,-0.621189,2.018637,-44.621124,-71.977051,32.216675
0.833333,-2.393672,-1.533066,0.000000,-2.221514,-1.521588,-0.004807,-2.555511,-0.818459,7.181140,-1.222878,-0.635524,2.060069,-49.356541,-73.338181,36.730927
0.850000,-2.660122,-1.714853,-0.000000,-2.230301,-1.525579,-0.004881,-2.586241,-0.836060,7.274127,-1.250427,-0.650727,2.101291,-54.919243,-74.586624,42.058910
0.866667,-1.919466,-1.512919,0.000000,-2.223981,-1.525371,-0.004922,-2.598349,-0.845088,7.363684,-1.266371,-0.659552,2.145943,-61.461021,-75.660194,48.376862
0.883333,-1.910524,-1.319022,0.000000,-2.217668,-1.521329,-0.004971,-2.612859,-0.853160,7.453841,-1.285205,-0.668764,2.191087,-69.014374,-76.536591,55.699379
0.900000,-2.198096,-1.411936,0.000000,-2.217293,-1.519267,-0.005027,-2.637460,-0.864536,7.546045,-1.310120,-0.680774,2.233996,-77.508209,-77.171814,63.949490
0.916667,-2.506900,-1.610637,-0.000000,-2.223061,-1.521200,-0.005066,-2.658175,-0.879145,7.628677,-1.333742,-0.694052,2.277284,-86.727554,-77.525604,72.932648
0.933333,-2.164717,-1.488417,0.000000,-2.221830,-1.520611,-0.005123,-2.673516,-0.888478,7.718529,-1.352099,-0.703350,2.320848,-96.272202,-77.539192,82.235329
0.950000,-2.079312,-1.328301,0.000000,-2.218915,-1.516830,-0.005182,-2.685361,-0.895444,7.797547,-1.370616,-0.711357,2.364470,-105.644371,-77.221611,91.371162
0.966667,-2.237518,-1.451986,-0.000000,-2.219264,-1.515659,-0.005233,-2.701248,-0.907990,7.874255,-1.392692,-0.724066,2.407547,-114.428352,-76.592560,99.914474
0.983333,-2.231174,-1.589935,0.000000,-2.219458,-1.517231,-0.005285,-2.719803,-0.919300,7.961471,-1.413479,-0.734997,2.450562,-122.287613,-75.682350,107.520432
1.000000,-2.297204,-1.532988,0.000000,-2.220949,-1.517611,-0.005317,-2.734856,-0.928903,8.045564,-1.432673,-0.744433,2.494941,-129.157028,-74.543533,114.138306
1.016667,-2.274637,-1.460580,0.000000,-2.221979,-1.516536,-0.005367,-2.749997,-0.937297,8.124613,-1.453178,-0.753193,2.538160,-135.055893,-73.221245,119.784378
1.033333,-2.266114,-1.569638,0.000000,-2.222817,-1.517685,-0.005437,-2.765791,-0.948333,8.203650,-1.473733,-0.763982,2.580129,-140.081802,-71.752541,124.553146
1.050000,-2.112946,-1.602857,0.000000,-2.220556,-1.519495,-0.005482,-2.773784,-0.961787,8.265960,-1.493168,-0.777020,2.623145,-144.352371,-70.171669,128.583664
1.066667,-2.225633,-1.487641,-0.000000,-2.220594,-1.518943,-0.005509,-2.789796,-0.970360,8.349235,-1.512849,-0.786410,2.667473,-147.990646,-68.504578,131.956039
1.083333,-2.328598,-1.597471,0.000000,-2.222710,-1.520599,-0.005537,-2.805788,-0.981214,8.425767,-1.534272,-0.797109,2.711418,-151.130264,-66.772453,134.831512
1.100000,-2.204188,-1.487126,0.000000,-2.222316,-1.520035,-0.005582,-2.821128,-0.991131,8.501123,-1.555967,-0.807761,2.754739,-153.840530,-64.990013,137.274658
1.116667,-2.104808,-1.375116,0.000000,-2.219921,-1.517242,-0.005629,-2.829089,-0.999980,8.565946,-1.575116,-0.817754,2.798683,-156.203735,-63.168427,139.382629
1.133333,-2.229299,-1.457994,0.000000,-2.220106,-1.516163,-0.005652,-2.849649,-1.007970,8.654333,-1.597659,-0.827291,2.843401,-158.270615,-61.322144,141.160416
1.150000,-2.270815,-1.533753,0.000000,-2.221076,-1.516581,-0.005697,-2.857060,-1.017460,8.708806,-1.618442,-0.836861,2.886428,-160.114273,-59.459187,142.752213
1.166667,-2.250734,-1.410359,0.000000,-2.221645,-1.514541,-0.005719,-2.863414,-1.026200,8.761222,-1.639557,-0.846344,2.931136,-161.757568,-57.580776,144.144989
1.183333,-2.239670,-1.467152,0.000000,-2.221963,-1.513699,-0.005740,-2.874124,-1.035570,8.831049,-1.659073,-0.856592,2.976092,-163.220016,-55.695862,145.335281
1.200000,-2.273271,-1.576698,0.000000,-2.222945,-1.515064,-0.005761,-2.885731,-1.046456,8.902799,-1.678580,-0.867752,3.020973,-164.538925,-53.808895,146.376617
1.216667,-2.239132,-1.501216,0.000000,-2.223206,-1.514852,-0.005783,-2.898205,-1.052843,8.983348,-1.696292,-0.875270,3.066145,-165.729218,-51.928616,147.276459
1.233333,-2.304907,-1.478538,0.000000,-2.224836,-1.514211,-0.005804,-2.908820,-1.061410,9.044168,-1.718318,-0.884527,3.110983,-166.825348,-50.054592,148.099945
1.250000,-2.367899,-1.547954,0.000000,-2.227653,-1.514972,-0.005845,-2.918790,-1.070812,9.108850,-1.737738,-0.894271,3.154720,-167.831177,-48.188000,148.826767
1.266667,-2.100957,-1.556045,0.000000,-2.225035,-1.515859,-0.005864,-2.922045,-1.078930,9.172361,-1.752824,-0.902871,3.200347,-168.739334,-46.337215,149.462784
1.283333,-2.278781,-1.396918,0.000000,-2.226087,-1.513606,-0.005901,-2.929966,-1.088151,9.234549,-1.771845,-0.913340,3.244879,-169.594604,-44.495895,150.038895
1.300000,-2.460227,-1.501520,0.000000,-2.230765,-1.513470,-0.005938,-2.938355,-1.098640,9.280904,-1.794883,-0.924235,3.288119,-170.394714,-42.677975,150.574234
1.316667,-2.323394,-1.667504,0.000000,-2.232554,-1.516616,-0.005959,-2.944119,-1.108562,9.339922,-1.812300,-0.933950,3.333201,-171.128159,-40.878166,151.031647
1.333333,-2.136143,-1.405111,0.000000,-2.230582,-1.514452,-0.005999,-2.947672,-1.114030,9.396423,-1.829163,-0.940747,3.377986,-171.808243,-39.105103,151.438263
